name,email,role,registrationDate
Usuario 1,user1@correo.com,admin,2023-07-26T00:00:00
Usuario 2,user2@correo.com,cliente,2023-04-27T00:00:00
Usuario 3,user3@correo.com,repartidor,2023-12-18T00:00:00
Usuario 4,user4@correo.com,repartidor,2024-07-05T00:00:00
Usuario 5,user5@correo.com,cliente,2024-02-21T00:00:00
Usuario 6,user6@correo.com,admin,2023-10-02T00:00:00
Usuario 7,user7@correo.com,admin,2023-01-16T00:00:00
Usuario 8,user8@correo.com,admin,2024-04-06T00:00:00
Usuario 9,user9@correo.com,admin,2023-08-31T00:00:00
Usuario 10,user10@correo.com,admin,2022-01-26T00:00:00
Usuario 11,user11@correo.com,admin,2024-08-17T00:00:00
Usuario 12,user12@correo.com,repartidor,2024-07-20T00:00:00
Usuario 13,user13@correo.com,admin,2024-11-25T00:00:00
Usuario 14,user14@correo.com,repartidor,2022-01-17T00:00:00
Usuario 15,user15@correo.com,cliente,2022-05-08T00:00:00
Usuario 16,user16@correo.com,repartidor,2022-01-25T00:00:00
Usuario 17,user17@correo.com,repartidor,2023-10-11T00:00:00
Usuario 18,user18@correo.com,cliente,2023-08-25T00:00:00
Usuario 19,user19@correo.com,repartidor,2023-05-31T00:00:00
Usuario 20,user20@correo.com,repartidor,2022-02-11T00:00:00
Usuario 21,user21@correo.com,cliente,2023-01-30T00:00:00
Usuario 22,user22@correo.com,repartidor,2023-05-19T00:00:00
Usuario 23,user23@correo.com,repartidor,2024-04-21T00:00:00
Usuario 24,user24@correo.com,admin,2023-03-15T00:00:00
Usuario 25,user25@correo.com,cliente,2022-04-30T00:00:00
Usuario 26,user26@correo.com,admin,2022-04-20T00:00:00
Usuario 27,user27@correo.com,cliente,2022-11-01T00:00:00
Usuario 28,user28@correo.com,admin,2022-09-16T00:00:00
Usuario 29,user29@correo.com,cliente,2023-11-16T00:00:00
Usuario 30,user30@correo.com,admin,2022-09-16T00:00:00
Usuario 31,user31@correo.com,admin,2022-06-05T00:00:00
Usuario 32,user32@correo.com,cliente,2022-05-22T00:00:00
Usuario 33,user33@correo.com,admin,2023-06-29T00:00:00
Usuario 34,user34@correo.com,cliente,2023-04-17T00:00:00
Usuario 35,user35@correo.com,cliente,2023-09-27T00:00:00
Usuario 36,user36@correo.com,admin,2024-02-03T00:00:00
Usuario 37,user37@correo.com,cliente,2023-06-23T00:00:00
Usuario 38,user38@correo.com,repartidor,2024-04-30T00:00:00
Usuario 39,user39@correo.com,repartidor,2022-03-09T00:00:00
Usuario 40,user40@correo.com,cliente,2022-11-18T00:00:00
Usuario 41,user41@correo.com,cliente,2022-01-06T00:00:00
Usuario 42,user42@correo.com,cliente,2023-03-21T00:00:00
Usuario 43,user43@correo.com,cliente,2023-03-13T00:00:00
Usuario 44,user44@correo.com,admin,2023-02-22T00:00:00
Usuario 45,user45@correo.com,admin,2023-12-04T00:00:00
Usuario 46,user46@correo.com,admin,2023-03-03T00:00:00
Usuario 47,user47@correo.com,admin,2022-05-02T00:00:00
Usuario 48,user48@correo.com,admin,2023-07-19T00:00:00
Usuario 49,user49@correo.com,admin,2023-12-05T00:00:00
Usuario 50,user50@correo.com,repartidor,2023-06-27T00:00:00
